Customer_id,Age,Gender,ProductCategory,PurchaseAmount,PurchaseDate
1097,31,Male,Electronics,472.05,2024-01-19
1098,25,Female,Electronics,253.8,2024-03-16
1099,19,Prefer Not to say,Apparel,447.86,2024-10-08
1100,32,Male,Books,180.53,2024-04-18
1101,28,Prefer Not to say,Home Goods,442.37,2024-10-05
1102,58,Female,Home Goods,447.38,2024-09-07
1103,45,Prefer Not to say,Apparel,420.01,2024-11-04
1104,33,Prefer Not to say,Food & Beverage,343.67,2024-09-11
1105,21,Prefer Not to say,Electronics,168.92,2024-10-10
1106,19,Prefer Not to say,Apparel,230.55,2024-07-07
1107,33,Male,Home Goods,471.24,2024-12-03
1108,58,Female,Apparel,115.07,2024-09-10
1109,24,Prefer Not to say,Electronics,134.14,2024-01-27
1110,52,Prefer Not to say,Books,498.77,2024-11-10
1111,48,Prefer Not to say,Books,404.14,2024-06-07
1112,29,Male,Electronics,71.23,2024-08-29
1113,31,Male,Apparel,56.42,2024-03-14
1114,25,Prefer Not to say,Home Goods,109.02,2024-01-11
1115,41,Female,Home Goods,275.1,2024-10-20
1116,52,Prefer Not to say,Home Goods,63.57,2024-12-07
1117,42,Prefer Not to say,Food & Beverage,108.19,2024-03-11
1118,69,Male,Books,488.6,2024-02-12
1119,68,Prefer Not to say,Electronics,201.66,2024-09-25
1120,38,Male,Home Goods,190.74,2024-03-15
1121,53,Prefer Not to say,Apparel,115.05,2024-08-12
1122,61,Prefer Not to say,Electronics,313.16,2024-03-01
1123,69,Male,Electronics,102.84,2024-05-07
1124,44,Female,Books,44.83,2024-06-18
1125,53,Prefer Not to say,Home Goods,227.28,2024-12-09
1126,67,Prefer Not to say,Books,111.8,2024-11-29
1127,50,Prefer Not to say,Home Goods,67.27,2024-09-29
1128,54,Prefer Not to say,Home Goods,139.88,2024-03-27
1129,61,Female,Books,23.21,2024-03-30
1130,45,Female,Home Goods,393.1,2024-10-11
1131,37,Prefer Not to say,Food & Beverage,29.78,2024-01-19
1132,20,Prefer Not to say,Electronics,394.96,2024-12-05
1133,59,Male,Home Goods,356.38,2024-12-27
1134,38,Prefer Not to say,Electronics,298.77,2024-09-17
1135,33,Prefer Not to say,Apparel,121.53,2024-08-28
1136,69,Prefer Not to say,Books,488.32,2024-07-09
1137,21,Female,Books,387.3,2024-09-24
1138,38,Female,Electronics,369.78,2024-08-19
1139,65,Male,Books,449.4,2024-07-18
1140,53,Female,Books,155.93,2024-01-22
1141,51,Female,Apparel,259.75,2024-10-08
1142,63,Female,Food & Beverage,97.6,2024-03-19
1143,23,Prefer Not to say,Electronics,56.34,2024-01-31
1144,28,Male,Apparel,339.24,2024-03-01
1145,44,Male,Apparel,411.16,2024-05-02
1146,23,Female,Books,426.23,2024-10-15
1147,55,Prefer Not to say,Home Goods,150.36,2024-01-29
1148,43,Female,Electronics,359.0,2024-09-19
1149,31,Prefer Not to say,Apparel,407.25,2024-07-29
1150,28,Female,Food & Beverage,306.12,2024-05-30
1151,50,Prefer Not to say,Electronics,381.52,2024-08-15
1152,40,Female,Home Goods,254.88,2024-10-27
1153,56,Male,Home Goods,171.13,2024-05-05
1154,67,Prefer Not to say,Apparel,171.4,2024-05-18
1155,67,Prefer Not to say,Apparel,292.43,2024-03-12
1156,55,Prefer Not to say,Food & Beverage,452.04,2024-06-02
1157,52,Female,Electronics,82.72,2024-10-24
1158,69,Prefer Not to say,Books,95.24,2024-12-19
1159,22,Male,Books,313.68,2024-11-03
1160,68,Female,Apparel,167.04,2024-06-20
1161,52,Female,Apparel,175.92,2024-11-13
1162,22,Female,Electronics,380.83,2024-08-25
1163,42,Prefer Not to say,Food & Beverage,105.14,2024-11-13
1164,37,Prefer Not to say,Food & Beverage,329.26,2024-05-08
1165,50,Prefer Not to say,Apparel,115.89,2024-08-11
1166,37,Male,Electronics,54.3,2024-04-01
1167,30,Prefer Not to say,Apparel,377.83,2024-10-03
1168,35,Male,Books,202.22,2024-07-21
1169,35,Female,Food & Beverage,107.76,2024-11-25
1170,48,Female,Food & Beverage,229.74,2024-09-09
1171,23,Male,Apparel,55.66,2024-03-17
1172,46,Male,Apparel,352.11,2024-01-20
1173,59,Female,Food & Beverage,41.52,2024-02-17
1174,58,Male,Home Goods,43.36,2024-09-10
1175,24,Male,Apparel,205.31,2024-07-25
1176,61,Male,Electronics,466.06,2024-08-02
1177,24,Female,Books,257.42,2024-10-08
1178,41,Male,Food & Beverage,56.47,2024-06-01
1179,20,Female,Home Goods,197.04,2024-03-29
1180,53,Prefer Not to say,Food & Beverage,340.0,2024-06-21
1181,51,Female,Food & Beverage,147.24,2024-08-02
1182,46,Male,Home Goods,190.17,2024-01-29
1183,48,Male,Books,236.99,2024-03-17
1184,33,Male,Home Goods,88.8,2024-02-17
1185,52,Female,Electronics,227.43,2024-11-05
1186,56,Female,Apparel,372.56,2024-02-29
1187,56,Male,Books,168.35,2024-04-08
1188,22,Female,Home Goods,249.65,2024-12-28
1189,49,Male,Home Goods,266.35,2024-08-11
1190,37,Female,Electronics,127.4,2024-09-17
1191,21,Prefer Not to say,Electronics,318.84,2024-10-26
1192,57,Prefer Not to say,Electronics,169.11,2024-01-05
1193,47,Male,Home Goods,117.32,2024-09-01
1194,61,Female,Home Goods,90.15,2024-07-09
1195,40,Female,Food & Beverage,241.19,2024-08-23
1196,59,Male,Electronics,238.75,2024-06-21
1197,28,Prefer Not to say,Books,239.78,2024-08-22
1198,58,Prefer Not to say,Books,110.53,2024-04-16
1199,42,Female,Apparel,496.84,2024-04-24
1200,33,Male,Home Goods,475.92,2024-05-20
1201,32,Male,Food & Beverage,102.15,2024-03-12
1202,46,Male,Books,21.76,2024-06-30
1203,43,Female,Electronics,237.88,2024-12-20
1204,25,Female,Home Goods,109.22,2024-09-29
1205,65,Male,Books,484.04,2024-12-05
1206,35,Female,Apparel,117.48,2024-03-06
1207,29,Male,Electronics,385.37,2024-12-26
1208,68,Prefer Not to say,Apparel,445.73,2024-03-17
1209,54,Male,Food & Beverage,427.18,2024-07-05
1210,51,Male,Home Goods,499.28,2024-07-07
1211,54,Male,Food & Beverage,219.89,2024-09-18
1212,65,Female,Electronics,401.78,2024-05-07
1213,46,Male,Apparel,488.93,2024-02-19
1214,49,Male,Apparel,24.08,2024-08-12
1215,29,Female,Apparel,176.11,2024-08-04
1216,22,Male,Food & Beverage,495.08,2024-01-11
1217,30,Female,Home Goods,307.28,2024-11-07
1218,43,Prefer Not to say,Food & Beverage,57.91,2024-08-17
1219,48,Male,Electronics,37.9,2024-10-02
1220,32,Female,Apparel,340.34,2024-12-17
1221,56,Male,Books,437.06,2024-11-18
1222,63,Prefer Not to say,Apparel,195.6,2024-04-15
1223,49,Prefer Not to say,Electronics,20.82,2024-06-11
1224,29,Prefer Not to say,Electronics,430.86,2024-06-24
1225,48,Male,Food & Beverage,126.58,2024-09-11
1226,41,Prefer Not to say,Food & Beverage,162.63,2024-02-12
1227,27,Male,Home Goods,10.14,2024-03-10
1228,64,Female,Food & Beverage,493.25,2024-09-24
1229,60,Female,Books,221.5,2024-04-23
1230,47,Male,Home Goods,46.21,2024-01-09
1231,22,Female,Apparel,153.47,2024-08-25
1232,53,Female,Electronics,286.77,2024-10-30
1233,20,Female,Food & Beverage,488.92,2024-12-19
1234,59,Male,Electronics,210.54,2024-12-16
1235,20,Prefer Not to say,Home Goods,105.83,2024-09-01
1236,33,Male,Apparel,16.18,2024-08-16
1237,38,Prefer Not to say,Home Goods,85.46,2024-04-02
1238,63,Female,Food & Beverage,24.24,2024-02-07
1239,36,Prefer Not to say,Food & Beverage,214.35,2024-07-22
1240,33,Female,Food & Beverage,374.78,2024-05-05
1241,32,Male,Food & Beverage,244.23,2024-06-20
1242,53,Female,Home Goods,20.7,2024-06-24
1243,21,Female,Home Goods,327.73,2024-03-12
1244,28,Prefer Not to say,Apparel,206.54,2024-03-21
1245,53,Prefer Not to say,Electronics,105.85,2024-05-03
1246,21,Female,Food & Beverage,145.82,2024-09-18
1247,47,Female,Books,343.73,2024-12-28
1248,34,Prefer Not to say,Apparel,68.94,2024-07-01
1249,64,Female,Home Goods,86.1,2024-01-26
1250,41,Female,Apparel,124.05,2024-04-30
1251,46,Female,Electronics,251.58,2024-06-12
1252,59,Male,Food & Beverage,393.64,2024-09-08
1253,24,Female,Food & Beverage,66.86,2024-09-17
1254,66,Prefer Not to say,Food & Beverage,334.99,2024-11-23
1255,27,Prefer Not to say,Apparel,155.4,2024-07-11
1256,20,Male,Home Goods,140.79,2024-02-27
1257,21,Female,Home Goods,286.31,2024-05-29
1258,18,Female,Electronics,185.56,2024-04-24
1259,28,Prefer Not to say,Food & Beverage,42.92,2024-08-12
1260,41,Prefer Not to say,Home Goods,307.4,2024-12-24
1261,27,Prefer Not to say,Electronics,169.28,2024-05-04
1262,35,Female,Food & Beverage,154.42,2024-08-27
1263,51,Female,Food & Beverage,460.38,2024-01-10
1264,26,Female,Home Goods,230.99,2024-04-26
1265,56,Male,Electronics,420.85,2024-06-17
1266,26,Male,Food & Beverage,122.94,2024-02-03
1267,28,Prefer Not to say,Electronics,202.81,2024-02-01
1268,59,Male,Electronics,154.99,2024-03-06
1269,52,Prefer Not to say,Electronics,111.97,2024-05-07
1270,35,Female,Electronics,335.86,2024-04-23
1271,19,Female,Apparel,148.94,2024-04-27
1272,21,Male,Books,490.84,2024-03-14
1273,68,Prefer Not to say,Food & Beverage,415.11,2024-01-11
1274,49,Female,Apparel,442.16,2024-01-06
1275,61,Prefer Not to say,Electronics,258.97,2024-01-28
1276,53,Prefer Not to say,Electronics,114.0,2024-06-18
1277,34,Female,Books,75.37,2024-07-22
1278,24,Prefer Not to say,Home Goods,26.03,2024-04-23
1279,46,Female,Books,426.38,2024-04-18
1280,20,Male,Apparel,39.42,2024-06-14
1281,47,Female,Food & Beverage,261.56,2024-01-01
1282,38,Female,Food & Beverage,32.84,2024-03-09
1283,29,Male,Books,225.48,2024-02-25
1284,59,Female,Home Goods,203.11,2024-09-03
1285,28,Female,Books,47.67,2024-10-19
1286,60,Male,Home Goods,487.29,2024-12-02
1287,21,Male,Electronics,292.43,2024-10-07
1288,64,Male,Apparel,252.21,2024-11-29
1289,29,Female,Food & Beverage,361.13,2024-01-27
1290,30,Male,Apparel,123.34,2024-10-28
1291,39,Male,Electronics,113.41,2024-01-11
1292,24,Male,Electronics,327.99,2024-05-24
1293,36,Female,Home Goods,344.23,2024-03-27
1294,51,Female,Food & Beverage,414.94,2024-12-09
1295,28,Female,Food & Beverage,121.07,2024-01-01
1296,22,Female,Electronics,414.7,2024-10-07
1297,52,Male,Books,472.06,2024-06-29
1298,19,Male,Home Goods,465.64,2024-11-26
1299,58,Male,Books,200.47,2024-01-14
1300,26,Male,Apparel,24.86,2024-02-26
1301,52,Prefer Not to say,Home Goods,245.8,2024-06-07
1302,56,Female,Books,367.73,2024-01-21
1303,26,Prefer Not to say,Electronics,241.26,2024-07-06
1304,19,Male,Electronics,367.46,2024-02-13
1305,41,Male,Books,102.04,2024-12-07
1306,39,Female,Apparel,120.06,2024-04-13
1307,64,Male,Books,252.44,2024-04-19
1308,52,Female,Home Goods,21.02,2024-05-26
1309,52,Female,Books,491.66,2024-09-16
1310,25,Prefer Not to say,Food & Beverage,205.02,2024-12-08
1311,27,Female,Home Goods,280.48,2024-12-19
1312,66,Male,Books,479.0,2024-12-04
1313,24,Male,Electronics,65.7,2024-10-31
1314,61,Male,Home Goods,254.14,2024-06-01
1315,52,Female,Apparel,99.56,2024-07-09
1316,51,Male,Home Goods,345.77,2024-09-12
1317,20,Male,Food & Beverage,478.53,2024-04-05
1318,49,Prefer Not to say,Books,432.87,2024-01-26
1319,32,Prefer Not to say,Home Goods,211.07,2024-06-06
1320,61,Male,Books,488.94,2024-10-17
1321,67,Prefer Not to say,Electronics,398.16,2024-08-01
1322,45,Male,Food & Beverage,275.85,2024-02-23
1323,54,Prefer Not to say,Food & Beverage,133.99,2024-06-10
1324,60,Male,Home Goods,342.87,2024-11-05
1325,63,Female,Books,239.31,2024-09-17
1326,67,Male,Apparel,322.23,2024-10-17
1327,18,Male,Apparel,66.54,2024-02-25
1328,28,Female,Food & Beverage,87.17,2024-11-07
1329,43,Prefer Not to say,Electronics,309.31,2024-11-09
1330,69,Male,Apparel,191.22,2024-10-01
1331,24,Female,Food & Beverage,429.94,2024-08-26
1332,63,Male,Books,53.47,2024-09-06
1333,69,Female,Home Goods,332.53,2024-10-18
1334,37,Male,Electronics,162.52,2024-11-15
1335,65,Prefer Not to say,Electronics,130.83,2024-08-05
1336,51,Female,Home Goods,143.29,2024-09-08
1337,34,Female,Home Goods,37.26,2024-03-29
1338,59,Male,Books,46.01,2024-07-28
1339,29,Prefer Not to say,Home Goods,95.22,2024-12-18
1340,55,Female,Apparel,16.24,2024-09-02
1341,67,Male,Home Goods,132.27,2024-01-27
1342,29,Prefer Not to say,Electronics,179.97,2024-06-23
1343,29,Female,Books,228.77,2024-07-17
1344,46,Prefer Not to say,Apparel,76.44,2024-02-09
1345,33,Male,Apparel,158.2,2024-03-03
1346,30,Female,Apparel,127.4,2024-01-20
1347,56,Male,Books,136.24,2024-06-03
1348,48,Female,Home Goods,434.39,2024-01-26
1349,66,Female,Home Goods,126.43,2024-04-01
1350,21,Prefer Not to say,Electronics,405.36,2024-09-23
1351,44,Female,Books,44.38,2024-12-06
1352,45,Prefer Not to say,Books,388.41,2024-09-17
1353,33,Prefer Not to say,Apparel,343.06,2024-01-12
1354,35,Female,Electronics,436.97,2024-09-09
1355,19,Male,Home Goods,372.03,2024-03-30
1356,42,Male,Books,475.99,2024-04-08
1357,18,Male,Electronics,79.91,2024-05-02
1358,49,Female,Food & Beverage,90.19,2024-05-15
1359,27,Male,Books,288.52,2024-10-08
1360,51,Female,Home Goods,377.23,2024-01-26
1361,36,Prefer Not to say,Home Goods,56.07,2024-01-22
1362,51,Male,Electronics,402.04,2024-02-18
1363,49,Male,Food & Beverage,421.21,2024-12-21
1364,46,Prefer Not to say,Apparel,189.44,2024-04-11
1365,51,Prefer Not to say,Food & Beverage,309.47,2024-10-28
1366,40,Male,Food & Beverage,215.63,2024-05-05
1367,42,Female,Books,363.78,2024-01-12
1368,35,Male,Electronics,198.3,2024-01-29
1369,57,Male,Home Goods,445.83,2024-05-19
1370,51,Prefer Not to say,Apparel,119.89,2024-04-30
1371,53,Female,Apparel,254.42,2024-10-09
1372,38,Female,Electronics,24.23,2024-10-15
1373,55,Prefer Not to say,Electronics,396.12,2024-11-11
1374,24,Prefer Not to say,Books,117.08,2024-08-28
1375,38,Female,Apparel,14.72,2024-12-02
1376,29,Male,Apparel,93.8,2024-07-28
1377,55,Female,Home Goods,458.16,2024-03-31
1378,45,Female,Books,153.7,2024-12-26
1379,20,Male,Home Goods,145.33,2024-02-02
1380,62,Male,Home Goods,47.3,2024-12-26
1381,34,Male,Electronics,371.87,2024-12-13
1382,55,Prefer Not to say,Home Goods,260.93,2024-06-19
1383,48,Prefer Not to say,Books,12.49,2024-04-28
1384,37,Prefer Not to say,Apparel,255.77,2024-08-15
1385,47,Female,Food & Beverage,465.41,2024-05-25
1386,20,Prefer Not to say,Books,100.5,2024-11-12
1387,39,Prefer Not to say,Electronics,365.41,2024-01-08
1388,31,Male,Books,478.53,2024-02-22
1389,47,Male,Home Goods,158.79,2024-03-19
1390,34,Male,Food & Beverage,278.61,2024-11-14
1391,36,Female,Electronics,125.82,2024-04-06
1392,34,Male,Books,114.76,2024-08-11
1393,18,Male,Home Goods,384.85,2024-11-10
1394,41,Prefer Not to say,Electronics,88.11,2024-10-05
1395,20,Female,Apparel,247.98,2024-07-13
1396,24,Prefer Not to say,Electronics,12.91,2024-11-16
1397,20,Male,Home Goods,90.85,2024-08-10
1398,60,Female,Apparel,207.07,2024-08-18
1399,69,Male,Books,309.83,2024-08-21
1400,24,Male,Food & Beverage,422.98,2024-01-05
1401,56,Prefer Not to say,Food & Beverage,278.83,2024-12-27
1402,35,Male,Home Goods,159.39,2024-11-19
1403,42,Male,Food & Beverage,20.03,2024-04-20
1404,37,Prefer Not to say,Apparel,64.7,2024-03-26
1405,42,Female,Home Goods,326.11,2024-03-20
1406,65,Prefer Not to say,Books,285.87,2024-10-08
1407,34,Male,Books,163.93,2024-09-02
1408,25,Prefer Not to say,Books,433.5,2024-03-03
1409,26,Prefer Not to say,Apparel,210.98,2024-09-25
1410,43,Female,Food & Beverage,37.12,2024-10-31
1411,64,Female,Food & Beverage,109.54,2024-09-23
1412,50,Male,Apparel,44.67,2024-07-12
1413,53,Male,Home Goods,280.16,2024-01-11
1414,62,Male,Home Goods,380.79,2024-12-06
1415,24,Male,Apparel,351.23,2024-03-29
1416,54,Female,Electronics,137.5,2024-12-10
1417,19,Prefer Not to say,Books,200.03,2024-07-22
1418,66,Female,Home Goods,481.51,2024-01-06
1419,37,Female,Electronics,356.02,2024-05-06
1420,25,Prefer Not to say,Home Goods,392.35,2024-01-11
1421,46,Prefer Not to say,Electronics,170.79,2024-04-23
1422,54,Prefer Not to say,Apparel,50.2,2024-12-29
1423,34,Male,Electronics,251.84,2024-06-11
1424,34,Prefer Not to say,Food & Beverage,386.09,2024-01-05
1425,38,Female,Home Goods,38.09,2024-06-20
1426,21,Male,Apparel,38.22,2024-11-30
1427,26,Female,Food & Beverage,162.8,2024-11-12
1428,47,Prefer Not to say,Apparel,141.3,2024-07-01
1429,46,Male,Food & Beverage,199.24,2024-11-23
1430,57,Female,Home Goods,91.81,2024-07-12
1431,51,Prefer Not to say,Apparel,301.07,2024-03-27
1432,53,Male,Books,103.89,2024-01-20
1433,55,Female,Apparel,326.83,2024-08-08
1434,49,Male,Home Goods,25.85,2024-01-10
1435,40,Male,Electronics,208.85,2024-09-26
1436,53,Female,Electronics,373.88,2024-10-16
1437,60,Female,Electronics,156.87,2024-05-13
1438,43,Male,Food & Beverage,180.72,2024-05-22
1439,42,Prefer Not to say,Apparel,346.72,2024-12-02
1440,28,Female,Home Goods,282.13,2024-11-11
1441,32,Prefer Not to say,Food & Beverage,291.68,2024-04-07
1442,21,Prefer Not to say,Apparel,454.89,2024-07-02
1443,43,Female,Home Goods,73.88,2024-02-10
1444,40,Female,Home Goods,438.73,2024-10-31
1445,54,Male,Food & Beverage,475.63,2024-07-11
1446,21,Male,Food & Beverage,63.85,2024-08-02
1447,36,Female,Electronics,52.81,2024-03-01
1448,63,Prefer Not to say,Home Goods,379.87,2024-09-19
1449,27,Female,Books,12.77,2024-03-01
1450,66,Female,Apparel,161.34,2024-01-13
1451,66,Male,Books,100.98,2024-12-19
1452,43,Female,Apparel,173.23,2024-10-19
1453,44,Prefer Not to say,Food & Beverage,429.68,2024-03-01
1454,56,Prefer Not to say,Food & Beverage,291.8,2024-01-30
1455,34,Female,Apparel,276.07,2024-06-05
1456,27,Male,Electronics,278.66,2024-03-03
1457,37,Male,Apparel,425.83,2024-04-08
1458,36,Female,Food & Beverage,369.9,2024-07-19
1459,46,Prefer Not to say,Books,255.68,2024-12-20
1460,55,Male,Home Goods,21.42,2024-02-26
1461,21,Prefer Not to say,Food & Beverage,313.99,2024-04-30
1462,29,Male,Books,106.03,2024-08-11
1463,23,Female,Electronics,143.65,2024-05-12
1464,23,Prefer Not to say,Apparel,238.78,2024-03-13
1465,18,Prefer Not to say,Books,332.4,2024-04-13
1466,23,Prefer Not to say,Food & Beverage,358.49,2024-08-10
1467,45,Female,Food & Beverage,362.32,2024-01-12
1468,63,Prefer Not to say,Home Goods,168.33,2024-08-18
1469,55,Female,Food & Beverage,261.01,2024-06-15
1470,59,Male,Apparel,261.91,2024-12-10
1471,31,Female,Electronics,64.19,2024-10-31
1472,29,Prefer Not to say,Home Goods,56.2,2024-11-10
1473,31,Female,Books,345.08,2024-03-22
1474,62,Female,Home Goods,69.59,2024-05-21
1475,60,Male,Books,158.4,2024-04-11
1476,51,Male,Books,348.08,2024-01-18
1477,60,Female,Food & Beverage,71.96,2024-07-29
1478,36,Female,Electronics,451.95,2024-11-24
1479,64,Female,Food & Beverage,58.64,2024-07-09
1480,21,Prefer Not to say,Electronics,57.02,2024-10-01
1481,51,Male,Home Goods,493.32,2024-12-13
1482,26,Male,Food & Beverage,308.31,2024-10-06
1483,40,Prefer Not to say,Home Goods,133.75,2024-12-29
1484,21,Female,Food & Beverage,445.73,2024-10-18
1485,35,Prefer Not to say,Apparel,338.37,2024-02-17
1486,37,Female,Books,334.23,2024-01-31
1487,24,Prefer Not to say,Books,221.0,2024-08-02
1488,39,Male,Apparel,348.47,2024-03-15
1489,21,Female,Books,112.85,2024-12-05
1490,43,Female,Electronics,295.63,2024-08-13
1491,21,Male,Apparel,27.02,2024-10-19
1492,46,Male,Home Goods,462.28,2024-01-18
1493,24,Female,Electronics,221.78,2024-09-09
1494,57,Male,Electronics,340.82,2024-07-29
1495,21,Female,Food & Beverage,278.32,2024-11-15
1496,25,Male,Food & Beverage,253.15,2024-05-26
1497,28,Prefer Not to say,Apparel,420.99,2024-07-01
1498,50,Prefer Not to say,Food & Beverage,212.58,2024-09-29
1499,50,Prefer Not to say,Books,282.9,2024-06-20
1500,46,Male,Apparel,498.93,2024-07-25
1501,22,Male,Books,360.91,2024-04-12
1502,21,Prefer Not to say,Home Goods,397.31,2024-08-30
1503,61,Male,Food & Beverage,496.6,2024-07-01
1504,61,Female,Books,17.8,2024-08-06
1505,64,Prefer Not to say,Food & Beverage,332.85,2024-06-08
1506,62,Prefer Not to say,Books,292.98,2024-05-12
1507,44,Prefer Not to say,Food & Beverage,474.55,2024-07-26
1508,29,Male,Books,178.27,2024-11-12
1509,52,Male,Apparel,62.94,2024-06-14
1510,56,Male,Electronics,488.97,2024-10-14
1511,21,Male,Food & Beverage,345.03,2024-11-11
1512,36,Female,Electronics,318.93,2024-01-13
1513,48,Male,Home Goods,39.29,2024-08-12
1514,56,Male,Food & Beverage,499.84,2024-04-15
1515,62,Prefer Not to say,Apparel,463.08,2024-05-26
1516,57,Male,Books,349.68,2024-05-05
1517,41,Male,Food & Beverage,79.83,2024-02-28
1518,35,Female,Home Goods,352.52,2024-07-22
1519,39,Female,Home Goods,474.32,2024-09-23
1520,21,Prefer Not to say,Books,493.63,2024-01-16
1521,57,Male,Electronics,308.91,2024-08-20
1522,21,Female,Electronics,100.43,2024-08-22
1523,69,Prefer Not to say,Food & Beverage,207.11,2024-07-23
1524,40,Female,Electronics,402.18,2024-02-12
1525,40,Prefer Not to say,Food & Beverage,268.64,2024-08-03
1526,37,Male,Home Goods,161.75,2024-09-06
1527,20,Prefer Not to say,Books,315.7,2024-10-25
